IMDB_title_ID,Original_title,Release_Year,Duration,Country,Content_Rating,Income,Votes,Score,Genre,Director
172495,Gladiator,5/19/2000,155,USA,R,465361176,1308193,8.5,Adventure,Ridley Scott
407887,The Departed,10/27/2006,151,USA,R,291465034,1159703,8.5,Drama,Martin Scorsese
482571,The Prestige,12/22/2006,130,UK,PG-13,109676311,1155723,8.5,Mystery,Christopher Nolan
88763,Back to the Future,10/18/1985,116,USA,PG,388774684,1027330,8.5,Comedy,Robert Zemeckis
110413,Léon,4/7/1995,110,France,Not Rated,19552639,1007598,8.5,Crime,Luc Besson
103064,Terminator 2: Judgment Day,12/19/1991,137,USA,R,520884847,974970,8.4,Sci-Fi,James Cameron
114814,The Usual Suspects,11/30/1995,106,USA,R,23341568,968947,8.4,Mystery,Bryan Singer
110357,The Lion King,11/25/1994,88,USA,G,968511805,917248,8.4,Adventure,Roger Allers
7286456,Joker,10/3/2019,122,USA,Not Rated,1074251311,855097,8.4,Drama,Todd Phillips
1675434,Intouchables,2/24/2012,112,France,Not Rated,426588510,736691,8.4,Comedy,Olivier Nakache
253474,The Pianist,10/25/2002,150,UK,R,120072577,707942,8.4,Drama,Roman Polanski
2582802,Whiplash,2/12/2015,106,USA,R,48983260,690732,8.4,Music,Damien Chazelle
54215,Psycho,10/28/1960,109,USA,R,32008644,586765,8.3,Mystery,Alfred Hitchcock
34583,Casablanca,11/21/1946,102,USA,PG,4374761,509953,8.3,Romance,Michael Curtiz
95327,Hotaru no haka,10/11/2015,89,Japan,Not Rated,516962,225438,8.3,Drama,Isao Takahata
27977,Modern Times,3/12/1937,87,USA,G,457688,211250,8.3,Drama,Charles Chaplin
1345836,The Dark Knight Rises,8/29/2012,164,UK,PG-13,1081133191,1480582,8.3,Adventure,Christopher Nolan
1853728,Django Unchained,1/17/2013,165,USA,R,425368238,1317856,8.3,Western,Quentin Tarantino
209144,Memento,1/19/2001,113,USA,R,39970386,1098879,8.2,Thriller,Christopher Nolan
910970,WALL·E,10/17/2008,98,USA,G,521311860,974734,8.2,Adventure,Andrew Stanton
81505,The Shining,12/22/1980,146,UK,R,46520613,869480,8.2,Horror,Stanley Kubrick
82971,Raiders of the Lost Ark,6/12/1981,115,USA,PG,390133212,865510,8.2,Adventure,Steven Spielberg
4154756,Avengers: Infinity War,4/25/2018,149,USA,Not Rated,2048359754,796486,8.2,Adventure,Anthony Russo
78748,Alien,10/25/1979,117,UK,R,108110316,768874,8.2,Sci-Fi,Ridley Scott
4154796,Avengers: Endgame,4/24/2019,181,USA,Not Rated,,754786,8.2,Adventure,Anthony Russo
78788,Apocalypse Now,12/18/1979,147,USA,R,91968688,591251,8.2,Mystery,Francis Ford Coppola
364569,Oldeuboi,5/6/2005,120,South Korea,R,15002116,501082,8.1,Drama,Chan-wook Park
47396,Rear Window,4/14/1955,112,USA,Not Rated,37032034,432390,8.1,Thriller,Alfred Hitchcock
